S No,User,Analysis On,Total Question,Correct,Incorrect Or Not Attempted
20,Kamalpiyush3,subject: Mathematics,20,2,18
20,Kamalpiyush3,topic: Parity,2,1,1
20,Kamalpiyush3,subtopic: Logical Thinking,2,1,1
20,Kamalpiyush3,skill: Parity,2,1,1
20,Kamalpiyush3,dificulty: Medium,10,1,9
20,Kamalpiyush3,topic: Pigeonhole Principle,2,0,2
20,Kamalpiyush3,subtopic: Combinatorics,8,0,8
20,Kamalpiyush3,skill: Pigeonhole Principle,2,0,2
20,Kamalpiyush3,topic: Graph theory,1,0,1
20,Kamalpiyush3,skill: Graph Theory,1,0,1
20,Kamalpiyush3,dificulty: Hard,5,0,5
20,Kamalpiyush3,topic: Set Theory,2,0,2
20,Kamalpiyush3,skill: Set Theory,2,0,2
20,Kamalpiyush3,topic: Linear inequations,1,0,1
20,Kamalpiyush3,subtopic: Algebra,4,0,4
20,Kamalpiyush3,skill: Linear inequations,1,0,1
20,Kamalpiyush3,dificulty: Easy,5,1,4
20,Kamalpiyush3,topic: Divisibility,2,1,1
20,Kamalpiyush3,subtopic: Number Theory,2,1,1
20,Kamalpiyush3,skill: Divisibility,2,1,1
20,Kamalpiyush3,topic: Triginometry,1,0,1
20,Kamalpiyush3,subtopic: Geometry,1,0,1
20,Kamalpiyush3,skill: Trigonometry,1,0,1
20,Kamalpiyush3,topic: Probability,1,0,1
20,Kamalpiyush3,skill: Probability,1,0,1
20,Kamalpiyush3,topic: Game Theory,2,0,2
20,Kamalpiyush3,skill: Game Theory,2,0,2
20,Kamalpiyush3,topic: Application of derivatives,3,0,3
20,Kamalpiyush3,subtopic: Calculus,3,0,3
20,Kamalpiyush3,skill: Application of derivatives,3,0,3
20,Kamalpiyush3,topic: Linear Programming,3,0,3
20,Kamalpiyush3,skill: Linear Programming,3,0,3
21,ap40902,subject: Mathematics,20,8,12
21,ap40902,topic: Parity,2,2,0
21,ap40902,subtopic: Logical Thinking,2,2,0
21,ap40902,skill: Parity,2,2,0
21,ap40902,dificulty: Medium,10,4,6
21,ap40902,topic: Pigeonhole Principle,2,1,1
21,ap40902,subtopic: Combinatorics,8,4,4
21,ap40902,skill: Pigeonhole Principle,2,1,1
21,ap40902,topic: Graph theory,1,0,1
21,ap40902,skill: Graph Theory,1,0,1
21,ap40902,dificulty: Hard,5,0,5
21,ap40902,topic: Set Theory,2,0,2
21,ap40902,skill: Set Theory,2,0,2
21,ap40902,topic: Linear inequations,1,1,0
21,ap40902,subtopic: Algebra,4,1,3
21,ap40902,skill: Linear inequations,1,1,0
21,ap40902,dificulty: Easy,5,4,1
21,ap40902,topic: Divisibility,2,0,2
21,ap40902,subtopic: Number Theory,2,0,2
21,ap40902,skill: Divisibility,2,0,2
21,ap40902,topic: Triginometry,1,1,0
21,ap40902,subtopic: Geometry,1,1,0
21,ap40902,skill: Trigonometry,1,1,0
21,ap40902,topic: Probability,1,1,0
21,ap40902,skill: Probability,1,1,0
21,ap40902,topic: Game Theory,2,2,0
21,ap40902,skill: Game Theory,2,2,0
21,ap40902,topic: Application of derivatives,3,0,3
21,ap40902,subtopic: Calculus,3,0,3
21,ap40902,skill: Application of derivatives,3,0,3
21,ap40902,topic: Linear Programming,3,0,3
21,ap40902,skill: Linear Programming,3,0,3
22,ankushparcha11,subject: Mathematics,20,6,14
22,ankushparcha11,topic: Parity,2,2,0
22,ankushparcha11,subtopic: Logical Thinking,2,2,0
22,ankushparcha11,skill: Parity,2,2,0
22,ankushparcha11,dificulty: Medium,10,3,7
22,ankushparcha11,topic: Pigeonhole Principle,2,1,1
22,ankushparcha11,subtopic: Combinatorics,8,3,5
22,ankushparcha11,skill: Pigeonhole Principle,2,1,1
22,ankushparcha11,topic: Graph theory,1,0,1
22,ankushparcha11,skill: Graph Theory,1,0,1
22,ankushparcha11,dificulty: Hard,5,1,4
22,ankushparcha11,topic: Set Theory,2,1,1
22,ankushparcha11,skill: Set Theory,2,1,1
22,ankushparcha11,topic: Linear inequations,1,0,1
22,ankushparcha11,subtopic: Algebra,4,0,4
22,ankushparcha11,skill: Linear inequations,1,0,1
22,ankushparcha11,dificulty: Easy,5,2,3
22,ankushparcha11,topic: Divisibility,2,1,1
22,ankushparcha11,subtopic: Number Theory,2,1,1
22,ankushparcha11,skill: Divisibility,2,1,1
22,ankushparcha11,topic: Triginometry,1,0,1
22,ankushparcha11,subtopic: Geometry,1,0,1
22,ankushparcha11,skill: Trigonometry,1,0,1
22,ankushparcha11,topic: Probability,1,0,1
22,ankushparcha11,skill: Probability,1,0,1
22,ankushparcha11,topic: Game Theory,2,1,1
22,ankushparcha11,skill: Game Theory,2,1,1
22,ankushparcha11,topic: Application of derivatives,3,0,3
22,ankushparcha11,subtopic: Calculus,3,0,3
22,ankushparcha11,skill: Application of derivatives,3,0,3
22,ankushparcha11,topic: Linear Programming,3,0,3
22,ankushparcha11,skill: Linear Programming,3,0,3
23,kushgadia,subject: Mathematics,20,17,3
23,kushgadia,topic: Parity,2,2,0
23,kushgadia,subtopic: Logical Thinking,2,2,0
23,kushgadia,skill: Parity,2,2,0
23,kushgadia,dificulty: Medium,8,7,1
23,kushgadia,dificulty: Easy,8,7,1
23,kushgadia,topic: Pigeonhole Principle,2,2,0
23,kushgadia,subtopic: Combinatorics,8,8,0
23,kushgadia,skill: Pigeonhole Principle,2,2,0
23,kushgadia,dificulty: Hard,4,3,1
23,kushgadia,topic: Graph theory,1,1,0
23,kushgadia,skill: Graph Theory,1,1,0
23,kushgadia,topic: Set Theory,2,2,0
23,kushgadia,skill: Set Theory,2,2,0
23,kushgadia,topic: Elementary Algebra,1,1,0
23,kushgadia,subtopic: Algebra,4,3,1
23,kushgadia,skill: Elementary Algebra,1,1,0
23,kushgadia,topic: Divisibility,2,1,1
23,kushgadia,subtopic: Number Theory,2,1,1
23,kushgadia,skill: Divisibility,2,1,1
23,kushgadia,topic: Triginometry,1,1,0
23,kushgadia,subtopic: Geometry,1,1,0
23,kushgadia,skill: Trigonometry,1,1,0
23,kushgadia,topic: Probability,1,1,0
23,kushgadia,skill: Probability,1,1,0
23,kushgadia,topic: Game Theory,2,2,0
23,kushgadia,skill: Game Theory,2,2,0
23,kushgadia,topic: Application of derivatives,3,2,1
23,kushgadia,subtopic: Calculus,3,2,1
23,kushgadia,skill: Application of derivatives,3,2,1
23,kushgadia,topic: Linear Programming,3,2,1
23,kushgadia,skill: Linear Programming,3,2,1
24,jibraniqbal2003,subject: Mathematics,20,8,12
24,jibraniqbal2003,topic: Parity,2,1,1
24,jibraniqbal2003,subtopic: Logical Thinking,2,1,1
24,jibraniqbal2003,skill: Parity,2,1,1
24,jibraniqbal2003,dificulty: Medium,8,5,3
24,jibraniqbal2003,dificulty: Easy,8,3,5
24,jibraniqbal2003,topic: Pigeonhole Principle,2,1,1
24,jibraniqbal2003,subtopic: Combinatorics,8,5,3
24,jibraniqbal2003,skill: Pigeonhole Principle,2,1,1
24,jibraniqbal2003,dificulty: Hard,4,0,4
24,jibraniqbal2003,topic: Graph theory,1,0,1
24,jibraniqbal2003,skill: Graph Theory,1,0,1
24,jibraniqbal2003,topic: Set Theory,2,1,1
24,jibraniqbal2003,skill: Set Theory,2,1,1
24,jibraniqbal2003,topic: Elementary Algebra,1,0,1
24,jibraniqbal2003,subtopic: Algebra,4,0,4
24,jibraniqbal2003,skill: Elementary Algebra,1,0,1
24,jibraniqbal2003,topic: Divisibility,2,0,2
24,jibraniqbal2003,subtopic: Number Theory,2,0,2
24,jibraniqbal2003,skill: Divisibility,2,0,2
24,jibraniqbal2003,topic: Triginometry,1,1,0
24,jibraniqbal2003,subtopic: Geometry,1,1,0
24,jibraniqbal2003,skill: Trigonometry,1,1,0
24,jibraniqbal2003,topic: Probability,1,1,0
24,jibraniqbal2003,skill: Probability,1,1,0
24,jibraniqbal2003,topic: Game Theory,2,2,0
24,jibraniqbal2003,skill: Game Theory,2,2,0
24,jibraniqbal2003,topic: Application of derivatives,3,1,2
24,jibraniqbal2003,subtopic: Calculus,3,1,2
24,jibraniqbal2003,skill: Application of derivatives,3,1,2
24,jibraniqbal2003,topic: Linear Programming,3,0,3
24,jibraniqbal2003,skill: Linear Programming,3,0,3
25,gadiarinku,subject: Mathematics,14,7,7
25,gadiarinku,topic: Parity,2,1,1
25,gadiarinku,subtopic: Logical Thinking,2,1,1
25,gadiarinku,skill: Parity,2,1,1
25,gadiarinku,dificulty: Hard,2,0,2
25,gadiarinku,dificulty: Easy,8,6,2
25,gadiarinku,topic: Combinations,1,1,0
25,gadiarinku,subtopic: Combinatorics,5,3,2
25,gadiarinku,skill: Combinations,1,1,0
25,gadiarinku,topic: Pigeonhole Principle,1,0,1
25,gadiarinku,skill: Pigeonhole Principle,1,0,1
25,gadiarinku,topic: Elementary Algebra,3,1,2
25,gadiarinku,subtopic: Algebra,5,1,4
25,gadiarinku,skill: Elementary Algebra,3,1,2
25,gadiarinku,topic: Linear inequations,1,0,1
25,gadiarinku,skill: Linear inequations,1,0,1
25,gadiarinku,dificulty: Medium,4,1,3
25,gadiarinku,topic: Divisibility,2,2,0
25,gadiarinku,subtopic: Number Theory,2,2,0
25,gadiarinku,skill: Divisibility,2,2,0
25,gadiarinku,topic: Set Theory,1,0,1
25,gadiarinku,skill: Set Theory,1,0,1
25,gadiarinku,topic: Series,1,0,1
25,gadiarinku,skill: Series,1,0,1
25,gadiarinku,topic: Game Theory,2,2,0
25,gadiarinku,skill: Game Theory,2,2,0
26,ragvreka,subject: Mathematics,20,4,16
26,ragvreka,topic: Parity,2,1,1
26,ragvreka,subtopic: Logical Thinking,2,1,1
26,ragvreka,skill: Parity,2,1,1
26,ragvreka,dificulty: Medium,8,3,5
26,ragvreka,dificulty: Easy,8,0,8
26,ragvreka,topic: Pigeonhole Principle,2,2,0
26,ragvreka,subtopic: Combinatorics,8,3,5
26,ragvreka,skill: Pigeonhole Principle,2,2,0
26,ragvreka,dificulty: Hard,4,1,3
26,ragvreka,topic: Graph theory,1,0,1
26,ragvreka,skill: Graph Theory,1,0,1
26,ragvreka,topic: Set Theory,2,1,1
26,ragvreka,skill: Set Theory,2,1,1
26,ragvreka,topic: Elementary Algebra,1,0,1
26,ragvreka,subtopic: Algebra,4,0,4
26,ragvreka,skill: Elementary Algebra,1,0,1
26,ragvreka,topic: Divisibility,2,0,2
26,ragvreka,subtopic: Number Theory,2,0,2
26,ragvreka,skill: Divisibility,2,0,2
26,ragvreka,topic: Triginometry,1,0,1
26,ragvreka,subtopic: Geometry,1,0,1
26,ragvreka,skill: Trigonometry,1,0,1
26,ragvreka,topic: Probability,1,0,1
26,ragvreka,skill: Probability,1,0,1
26,ragvreka,topic: Game Theory,2,0,2
26,ragvreka,skill: Game Theory,2,0,2
26,ragvreka,topic: Application of derivatives,3,0,3
26,ragvreka,subtopic: Calculus,3,0,3
26,ragvreka,skill: Application of derivatives,3,0,3
26,ragvreka,topic: Linear Programming,3,0,3
26,ragvreka,skill: Linear Programming,3,0,3
27,cuentadesanti,subject: Mathematics,20,12,8
27,cuentadesanti,topic: Parity,2,2,0
27,cuentadesanti,subtopic: Logical Thinking,2,2,0
27,cuentadesanti,skill: Parity,2,2,0
27,cuentadesanti,dificulty: Medium,8,5,3
27,cuentadesanti,dificulty: Easy,8,4,4
27,cuentadesanti,topic: Pigeonhole Principle,2,1,1
27,cuentadesanti,subtopic: Combinatorics,8,4,4
27,cuentadesanti,skill: Pigeonhole Principle,2,1,1
27,cuentadesanti,dificulty: Hard,4,3,1
27,cuentadesanti,topic: Graph theory,1,1,0
27,cuentadesanti,skill: Graph Theory,1,1,0
27,cuentadesanti,topic: Set Theory,2,1,1
27,cuentadesanti,skill: Set Theory,2,1,1
27,cuentadesanti,topic: Elementary Algebra,1,1,0
27,cuentadesanti,subtopic: Algebra,4,3,1
27,cuentadesanti,skill: Elementary Algebra,1,1,0
27,cuentadesanti,topic: Divisibility,2,1,1
27,cuentadesanti,subtopic: Number Theory,2,1,1
27,cuentadesanti,skill: Divisibility,2,1,1
27,cuentadesanti,topic: Triginometry,1,1,0
27,cuentadesanti,subtopic: Geometry,1,1,0
27,cuentadesanti,skill: Trigonometry,1,1,0
27,cuentadesanti,topic: Probability,1,0,1
27,cuentadesanti,skill: Probability,1,0,1
27,cuentadesanti,topic: Game Theory,2,1,1
27,cuentadesanti,skill: Game Theory,2,1,1
27,cuentadesanti,topic: Application of derivatives,3,1,2
27,cuentadesanti,subtopic: Calculus,3,1,2
27,cuentadesanti,skill: Application of derivatives,3,1,2
27,cuentadesanti,topic: Linear Programming,3,2,1
27,cuentadesanti,skill: Linear Programming,3,2,1
28,surajg7588,subject: Mathematics,20,8,12
28,surajg7588,topic: Parity,2,2,0
28,surajg7588,subtopic: Logical Thinking,2,2,0
28,surajg7588,skill: Parity,2,2,0
28,surajg7588,dificulty: Medium,10,3,7
28,surajg7588,topic: Pigeonhole Principle,2,1,1
28,surajg7588,subtopic: Combinatorics,8,3,5
28,surajg7588,skill: Pigeonhole Principle,2,1,1
28,surajg7588,topic: Graph theory,1,0,1
28,surajg7588,skill: Graph Theory,1,0,1
28,surajg7588,dificulty: Hard,5,2,3
28,surajg7588,topic: Set Theory,2,1,1
28,surajg7588,skill: Set Theory,2,1,1
28,surajg7588,topic: Linear inequations,1,0,1
28,surajg7588,subtopic: Algebra,4,0,4
28,surajg7588,skill: Linear inequations,1,0,1
28,surajg7588,dificulty: Easy,5,3,2
28,surajg7588,topic: Divisibility,2,2,0
28,surajg7588,subtopic: Number Theory,2,2,0
28,surajg7588,skill: Divisibility,2,2,0
28,surajg7588,topic: Triginometry,1,0,1
28,surajg7588,subtopic: Geometry,1,0,1
28,surajg7588,skill: Trigonometry,1,0,1
28,surajg7588,topic: Probability,1,0,1
28,surajg7588,skill: Probability,1,0,1
28,surajg7588,topic: Game Theory,2,1,1
28,surajg7588,skill: Game Theory,2,1,1
28,surajg7588,topic: Application of derivatives,3,1,2
28,surajg7588,subtopic: Calculus,3,1,2
28,surajg7588,skill: Application of derivatives,3,1,2
28,surajg7588,topic: Linear Programming,3,0,3
28,surajg7588,skill: Linear Programming,3,0,3
29,tiwarishubhangi2003,subject: Mathematics,20,6,14
29,tiwarishubhangi2003,topic: Parity,2,2,0
29,tiwarishubhangi2003,subtopic: Logical Thinking,2,2,0
29,tiwarishubhangi2003,skill: Parity,2,2,0
29,tiwarishubhangi2003,dificulty: Medium,8,2,6
29,tiwarishubhangi2003,dificulty: Easy,8,3,5
29,tiwarishubhangi2003,topic: Pigeonhole Principle,2,2,0
29,tiwarishubhangi2003,subtopic: Combinatorics,8,3,5
29,tiwarishubhangi2003,skill: Pigeonhole Principle,2,2,0
29,tiwarishubhangi2003,dificulty: Hard,4,1,3
29,tiwarishubhangi2003,topic: Graph theory,1,0,1
29,tiwarishubhangi2003,skill: Graph Theory,1,0,1
29,tiwarishubhangi2003,topic: Set Theory,2,0,2
29,tiwarishubhangi2003,skill: Set Theory,2,0,2
29,tiwarishubhangi2003,topic: Elementary Algebra,1,0,1
29,tiwarishubhangi2003,subtopic: Algebra,4,0,4
29,tiwarishubhangi2003,skill: Elementary Algebra,1,0,1
29,tiwarishubhangi2003,topic: Divisibility,2,1,1
29,tiwarishubhangi2003,subtopic: Number Theory,2,1,1
29,tiwarishubhangi2003,skill: Divisibility,2,1,1
29,tiwarishubhangi2003,topic: Triginometry,1,0,1
29,tiwarishubhangi2003,subtopic: Geometry,1,0,1
29,tiwarishubhangi2003,skill: Trigonometry,1,0,1
29,tiwarishubhangi2003,topic: Probability,1,0,1
29,tiwarishubhangi2003,skill: Probability,1,0,1
29,tiwarishubhangi2003,topic: Game Theory,2,1,1
29,tiwarishubhangi2003,skill: Game Theory,2,1,1
29,tiwarishubhangi2003,topic: Application of derivatives,3,0,3
29,tiwarishubhangi2003,subtopic: Calculus,3,0,3
29,tiwarishubhangi2003,skill: Application of derivatives,3,0,3
29,tiwarishubhangi2003,topic: Linear Programming,3,0,3
29,tiwarishubhangi2003,skill: Linear Programming,3,0,3
30,bachtiarhafidz27,subject: Mathematics,20,12,8
30,bachtiarhafidz27,topic: Parity,2,1,1
30,bachtiarhafidz27,subtopic: Logical Thinking,2,1,1
30,bachtiarhafidz27,skill: Parity,2,1,1
30,bachtiarhafidz27,dificulty: Medium,10,6,4
30,bachtiarhafidz27,topic: Pigeonhole Principle,2,2,0
30,bachtiarhafidz27,subtopic: Combinatorics,8,7,1
30,bachtiarhafidz27,skill: Pigeonhole Principle,2,2,0
30,bachtiarhafidz27,topic: Graph theory,1,0,1
30,bachtiarhafidz27,skill: Graph Theory,1,0,1
30,bachtiarhafidz27,dificulty: Hard,5,3,2
30,bachtiarhafidz27,topic: Set Theory,2,2,0
30,bachtiarhafidz27,skill: Set Theory,2,2,0
30,bachtiarhafidz27,topic: Linear inequations,1,0,1
30,bachtiarhafidz27,subtopic: Algebra,4,2,2
30,bachtiarhafidz27,skill: Linear inequations,1,0,1
30,bachtiarhafidz27,dificulty: Easy,5,3,2
30,bachtiarhafidz27,topic: Divisibility,2,0,2
30,bachtiarhafidz27,subtopic: Number Theory,2,0,2
30,bachtiarhafidz27,skill: Divisibility,2,0,2
30,bachtiarhafidz27,topic: Triginometry,1,0,1
30,bachtiarhafidz27,subtopic: Geometry,1,0,1
30,bachtiarhafidz27,skill: Trigonometry,1,0,1
30,bachtiarhafidz27,topic: Probability,1,1,0
30,bachtiarhafidz27,skill: Probability,1,1,0
30,bachtiarhafidz27,topic: Game Theory,2,2,0
30,bachtiarhafidz27,skill: Game Theory,2,2,0
30,bachtiarhafidz27,topic: Application of derivatives,3,2,1
30,bachtiarhafidz27,subtopic: Calculus,3,2,1
30,bachtiarhafidz27,skill: Application of derivatives,3,2,1
30,bachtiarhafidz27,topic: Linear Programming,3,2,1
30,bachtiarhafidz27,skill: Linear Programming,3,2,1
31,spaceskaalien9,subject: Mathematics,20,6,14
31,spaceskaalien9,topic: Parity,2,2,0
31,spaceskaalien9,subtopic: Logical Thinking,2,2,0
31,spaceskaalien9,skill: Parity,2,2,0
31,spaceskaalien9,dificulty: Medium,8,1,7
31,spaceskaalien9,dificulty: Easy,8,4,4
31,spaceskaalien9,topic: Pigeonhole Principle,2,1,1
31,spaceskaalien9,subtopic: Combinatorics,8,3,5
31,spaceskaalien9,skill: Pigeonhole Principle,2,1,1
31,spaceskaalien9,dificulty: Hard,4,1,3
31,spaceskaalien9,topic: Graph theory,1,0,1
31,spaceskaalien9,skill: Graph Theory,1,0,1
31,spaceskaalien9,topic: Set Theory,2,0,2
31,spaceskaalien9,skill: Set Theory,2,0,2
31,spaceskaalien9,topic: Elementary Algebra,1,0,1
31,spaceskaalien9,subtopic: Algebra,4,0,4
31,spaceskaalien9,skill: Elementary Algebra,1,0,1
31,spaceskaalien9,topic: Divisibility,2,1,1
31,spaceskaalien9,subtopic: Number Theory,2,1,1
31,spaceskaalien9,skill: Divisibility,2,1,1
31,spaceskaalien9,topic: Triginometry,1,0,1
31,spaceskaalien9,subtopic: Geometry,1,0,1
31,spaceskaalien9,skill: Trigonometry,1,0,1
31,spaceskaalien9,topic: Probability,1,0,1
31,spaceskaalien9,skill: Probability,1,0,1
31,spaceskaalien9,topic: Game Theory,2,2,0
31,spaceskaalien9,skill: Game Theory,2,2,0
31,spaceskaalien9,topic: Application of derivatives,3,0,3
31,spaceskaalien9,subtopic: Calculus,3,0,3
31,spaceskaalien9,skill: Application of derivatives,3,0,3
31,spaceskaalien9,topic: Linear Programming,3,0,3
31,spaceskaalien9,skill: Linear Programming,3,0,3
32,Golda.abs,subject: Mathematics,20,10,10
32,Golda.abs,topic: Parity,2,2,0
32,Golda.abs,subtopic: Logical Thinking,2,2,0
32,Golda.abs,skill: Parity,2,2,0
32,Golda.abs,dificulty: Medium,8,3,5
32,Golda.abs,dificulty: Easy,8,4,4
32,Golda.abs,topic: Pigeonhole Principle,2,1,1
32,Golda.abs,subtopic: Combinatorics,8,6,2
32,Golda.abs,skill: Pigeonhole Principle,2,1,1
32,Golda.abs,dificulty: Hard,4,3,1
32,Golda.abs,topic: Graph theory,1,1,0
32,Golda.abs,skill: Graph Theory,1,1,0
32,Golda.abs,topic: Set Theory,2,2,0
32,Golda.abs,skill: Set Theory,2,2,0
32,Golda.abs,topic: Elementary Algebra,1,0,1
32,Golda.abs,subtopic: Algebra,4,2,2
32,Golda.abs,skill: Elementary Algebra,1,0,1
32,Golda.abs,topic: Divisibility,2,0,2
32,Golda.abs,subtopic: Number Theory,2,0,2
32,Golda.abs,skill: Divisibility,2,0,2
32,Golda.abs,topic: Triginometry,1,0,1
32,Golda.abs,subtopic: Geometry,1,0,1
32,Golda.abs,skill: Trigonometry,1,0,1
32,Golda.abs,topic: Probability,1,0,1
32,Golda.abs,skill: Probability,1,0,1
32,Golda.abs,topic: Game Theory,2,2,0
32,Golda.abs,skill: Game Theory,2,2,0
32,Golda.abs,topic: Application of derivatives,3,0,3
32,Golda.abs,subtopic: Calculus,3,0,3
32,Golda.abs,skill: Application of derivatives,3,0,3
32,Golda.abs,topic: Linear Programming,3,2,1
32,Golda.abs,skill: Linear Programming,3,2,1
33,a.hong.kong.math.lover,subject: Mathematics,14,10,4
33,a.hong.kong.math.lover,topic: Parity,2,1,1
33,a.hong.kong.math.lover,subtopic: Logical Thinking,2,1,1
33,a.hong.kong.math.lover,skill: Parity,2,1,1
33,a.hong.kong.math.lover,dificulty: Hard,2,0,2
33,a.hong.kong.math.lover,dificulty: Easy,8,7,1
33,a.hong.kong.math.lover,topic: Combinations,1,1,0
33,a.hong.kong.math.lover,subtopic: Combinatorics,5,4,1
33,a.hong.kong.math.lover,skill: Combinations,1,1,0
33,a.hong.kong.math.lover,topic: Pigeonhole Principle,1,0,1
33,a.hong.kong.math.lover,skill: Pigeonhole Principle,1,0,1
33,a.hong.kong.math.lover,topic: Elementary Algebra,3,2,1
33,a.hong.kong.math.lover,subtopic: Algebra,5,3,2
33,a.hong.kong.math.lover,skill: Elementary Algebra,3,2,1
33,a.hong.kong.math.lover,topic: Linear inequations,1,1,0
33,a.hong.kong.math.lover,skill: Linear inequations,1,1,0
33,a.hong.kong.math.lover,dificulty: Medium,4,3,1
33,a.hong.kong.math.lover,topic: Divisibility,2,2,0
33,a.hong.kong.math.lover,subtopic: Number Theory,2,2,0
33,a.hong.kong.math.lover,skill: Divisibility,2,2,0
33,a.hong.kong.math.lover,topic: Set Theory,1,1,0
33,a.hong.kong.math.lover,skill: Set Theory,1,1,0
33,a.hong.kong.math.lover,topic: Series,1,0,1
33,a.hong.kong.math.lover,skill: Series,1,0,1
33,a.hong.kong.math.lover,topic: Game Theory,2,2,0
33,a.hong.kong.math.lover,skill: Game Theory,2,2,0
